PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,TotalSpending,Deck,CabinNum,Side,Group,Group_Number,Group_Size,Is_Solo
0020_01,Earth,1,E/0/S,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,0,0.0,E,0,S,0020,01,6,0
0020_02,Earth,1,E/0/S,55 Cancri e,49.0,0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,0,0.0,E,0,S,0020,02,6,0
0020_03,Earth,1,E/0/S,55 Cancri e,29.0,0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,0,0.0,E,0,S,0020,03,6,0
0020_04,Earth,0,E/0/S,TRAPPIST-1e,10.0,0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,1,0.0,E,0,S,0020,04,6,0
0020_05,Earth,1,E/0/S,PSO J318.5-22,1.0,0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,0,0.0,E,0,S,0020,05,6,0
0020_06,Earth,0,E/0/S,TRAPPIST-1e,7.0,0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,0,0.0,E,0,S,0020,06,6,0
0022_01,Mars,0,D/0/P,TRAPPIST-1e,21.0,0,980.0,2.0,69.0,0.0,0.0,UnKnown,0,1051.0,D,0,P,0022,01,1,1
0024_01,Europa,1,C/2/S,TRAPPIST-1e,62.0,0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,1,0.0,C,2,S,0024,01,1,1
0025_01,Earth,0,F/6/S,TRAPPIST-1e,15.0,0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,0,1223.0,F,6,S,0025,01,1,1
0026_01,Europa,0,C/0/P,55 Cancri e,34.0,0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,0,7861.0,C,0,P,0026,01,1,1
0028_01,Mars,0,F/8/P,TRAPPIST-1e,43.0,0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,0,1309.0,F,8,P,0028,01,1,1
0030_01,Earth,0,G/4/S,TRAPPIST-1e,32.0,0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,0,1821.0,G,4,S,0030,01,1,1
0031_01,Mars,0,F/9/P,TRAPPIST-1e,47.0,0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,1,2854.0,F,9,P,0031,01,3,0
0031_02,Mars,0,F/9/P,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,1,0.0,F,9,P,0031,02,3,0
0031_03,Mars,0,F/9/P,TRAPPIST-1e,20.0,0,0.0,0.0,1750.0,990.0,0.0,Dontch Datie,1,2740.0,F,9,P,0031,03,3,0
0034_01,Europa,1,D/1/S,55 Cancri e,28.0,0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,1,0.0,D,1,S,0034,01,1,1
0035_01,Mars,0,D/1/P,55 Cancri e,23.0,0,784.0,964.0,0.0,951.0,0.0,Luse Butte,0,2699.0,D,1,P,0035,01,1,1
0036_01,Earth,0,F/8/S,55 Cancri e,15.0,0,0.0,492.0,48.0,20.0,401.0,Marina Leodger,0,961.0,F,8,S,0036,01,1,1
0038_01,Earth,0,F/10/S,55 Cancri e,20.0,0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,0,3355.0,F,10,S,0038,01,1,1
0039_01,Earth,1,G/1/P,55 Cancri e,30.0,0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,0,0.0,G,1,P,0039,01,1,1
0041_01,Earth,1,G/2/P,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,1,0.0,G,2,P,0041,01,1,1
0043_01,Europa,0,B/3/P,TRAPPIST-1e,45.0,0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,0,3575.0,B,3,P,0043,01,1,1
0044_01,Earth,1,G/3/P,TRAPPIST-1e,55.0,0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,0,0.0,G,3,P,0044,01,3,0
0044_02,Earth,1,G/3/P,55 Cancri e,4.0,0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,1,0.0,G,3,P,0044,02,3,0
0044_03,Earth,1,G/3/P,PSO J318.5-22,21.0,0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,1,0.0,G,3,P,0044,03,3,0
0045_01,Mars,0,F/10/P,TRAPPIST-1e,21.0,0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,0,1214.0,F,10,P,0045,01,2,0
0045_02,Mars,1,F/10/P,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,1,0.0,F,10,P,0045,02,2,0
0050_01,Earth,0,E/1/S,55 Cancri e,35.0,0,790.0,0.0,0.0,0.0,0.0,Sony Lancis,0,790.0,E,1,S,0050,01,1,1
0051_01,Earth,0,E/2/S,TRAPPIST-1e,56.0,0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,0,1618.0,E,2,S,0051,01,1,1
0052_01,Earth,0,G/6/S,TRAPPIST-1e,27.0,0,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,0,4689.0,G,6,S,0052,01,1,1
0053_01,Earth,0,F/11/S,TRAPPIST-1e,25.0,0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,1,1939.0,F,11,S,0053,01,1,1
0056_01,Europa,0,A/1/S,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,1,0.0,A,1,S,0056,01,3,0
0056_02,Europa,1,A/1/S,TRAPPIST-1e,38.0,0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,1,0.0,A,1,S,0056,02,3,0
0056_03,Europa,0,A/1/S,TRAPPIST-1e,27.0,0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,1,4547.0,A,1,S,0056,03,3,0
0058_01,Earth,1,G/7/S,PSO J318.5-22,36.0,0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,0,0.0,G,7,S,0058,01,1,1
0061_01,Earth,0,F/12/S,TRAPPIST-1e,22.0,0,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,0,2667.0,F,12,S,0061,01,1,1
0062_01,Earth,0,F/13/S,TRAPPIST-1e,62.0,0,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,0,634.0,F,13,S,0062,01,1,1
0064_01,Mars,1,F/14/S,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,UnKnown,1,0.0,F,14,S,0064,01,2,0
0064_02,Earth,1,E/3/S,TRAPPIST-1e,33.0,0,0.0,0.0,0.0,0.0,0.0,Colatz Keen,1,0.0,E,3,S,0064,02,2,0
0066_01,Earth,0,G/6/P,TRAPPIST-1e,62.0,0,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,0,811.0,G,6,P,0066,01,1,1
0067_01,Earth,1,G/10/S,PSO J318.5-22,0.0,0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,1,0.0,G,10,S,0067,01,3,0
0067_02,Earth,0,G/10/S,TRAPPIST-1e,18.0,0,1.0,258.0,446.0,0.0,0.0,Celine Leeves,1,705.0,G,10,S,0067,02,3,0
0067_03,Earth,0,F/15/S,55 Cancri e,21.0,0,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,0,2007.0,F,15,S,0067,03,3,0
0068_01,Mars,0,E/4/S,TRAPPIST-1e,27.0,0,793.0,0.0,2.0,253.0,0.0,Cinst Binie,0,1048.0,E,4,S,0068,01,1,1
0069_01,Earth,0,F/16/S,TRAPPIST-1e,42.0,0,887.0,0.0,9.0,6.0,0.0,UnKnown,1,902.0,F,16,S,0069,01,1,1
0070_01,Earth,0,F/13/P,TRAPPIST-1e,19.0,0,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,0,922.0,F,13,P,0070,01,1,1
0071_01,Earth,0,F/14/P,TRAPPIST-1e,17.0,0,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,0,2233.0,F,14,P,0071,01,1,1
0072_01,Earth,0,F/17/S,TRAPPIST-1e,14.0,0,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,0,1064.0,F,17,S,0072,01,1,1
0073_01,Mars,0,D/3/P,PSO J318.5-22,37.0,0,46.0,83.0,738.0,0.0,12.0,Gorn Make,0,879.0,D,3,P,0073,01,1,1
0074_01,Europa,0,C/3/S,TRAPPIST-1e,42.0,0,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,1,8904.0,C,3,S,0074,01,1,1
0076_01,Mars,0,F/18/S,TRAPPIST-1e,27.0,0,147.0,0.0,1018.0,0.0,0.0,Conk Dal,1,1165.0,F,18,S,0076,01,1,1
0077_01,Mars,0,F/15/P,TRAPPIST-1e,28.0,0,14.0,0.0,1295.0,0.0,0.0,Pon Blité,1,1309.0,F,15,P,0077,01,1,1
0078_01,Europa,0,C/4/S,TRAPPIST-1e,38.0,0,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,0,15815.0,C,4,S,0078,01,1,1
0081_01,Earth,1,G/13/S,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,0,0.0,G,13,S,0081,01,1,1
0082_01,Mars,0,F/16/P,TRAPPIST-1e,42.0,0,7406.0,0.0,0.0,0.0,0.0,Totse Datte,0,7406.0,F,16,P,0082,01,3,0
0082_02,Mars,1,F/16/P,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,1,0.0,F,16,P,0082,02,3,0
0082_03,Mars,0,F/16/P,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0,UnKnown,1,0.0,F,16,P,0082,03,3,0
0084_01,Earth,0,G/14/S,TRAPPIST-1e,24.0,0,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,1,705.0,G,14,S,0084,01,1,1
0085_01,Europa,1,C/5/S,TRAPPIST-1e,40.0,0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,1,0.0,C,5,S,0085,01,1,1
0086_01,Earth,0,F/17/P,TRAPPIST-1e,43.0,0,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,0,1362.0,F,17,P,0086,01,1,1
0088_01,Mars,1,E/5/S,PSO J318.5-22,45.0,0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,1,0.0,E,5,S,0088,01,1,1
0090_01,Earth,1,G/15/S,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,1,0.0,G,15,S,0090,01,1,1
0091_01,Earth,1,G/16/S,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,1,0.0,G,16,S,0091,01,2,0
0091_02,Earth,0,F/20/S,TRAPPIST-1e,27.0,0,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,0,917.0,F,20,S,0091,02,2,0
0092_01,Earth,0,G/9/P,TRAPPIST-1e,19.0,0,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,0,705.0,G,9,P,0092,01,3,0
0092_02,Earth,1,G/9/P,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Stald Hewson,1,0.0,G,9,P,0092,02,3,0
0092_03,Earth,1,G/9/P,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,1,0.0,G,9,P,0092,03,3,0
0097_01,Europa,0,A/2/S,TRAPPIST-1e,54.0,0,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,0,1848.0,A,2,S,0097,01,1,1
0098_01,Earth,0,G/11/P,TRAPPIST-1e,26.0,0,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,0,893.0,G,11,P,0098,01,2,0
0098_02,Earth,0,G/11/P,TRAPPIST-1e,26.0,0,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,1,3855.0,G,11,P,0098,02,2,0
0099_01,Earth,0,F/19/P,PSO J318.5-22,23.0,0,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,0,1301.0,F,19,P,0099,01,2,0
0099_02,Earth,1,G/12/P,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,1,0.0,G,12,P,0099,02,2,0
0101_01,Mars,1,B/82/S,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0,Book Trad,1,0.0,B,82,S,0101,01,1,1
0102_01,Earth,0,F/23/S,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,830.0,91.0,Ritany Holson,0,921.0,F,23,S,0102,01,1,1
0103_01,Earth,0,F/24/S,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,17.0,Arlen Mclainez,1,17.0,F,24,S,0103,01,3,0
0103_02,Earth,1,G/18/S,55 Cancri e,9.0,0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,1,0.0,G,18,S,0103,02,3,0
0103_03,Earth,1,G/18/S,TRAPPIST-1e,6.0,0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,0,0.0,G,18,S,0103,03,3,0
0105_01,Earth,0,F/21/P,TRAPPIST-1e,27.0,0,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,0,703.0,F,21,P,0105,01,1,1
0107_01,Mars,0,D/2/S,TRAPPIST-1e,21.0,0,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,0,1765.0,D,2,S,0107,01,1,1
0108_01,Earth,1,G/19/S,TRAPPIST-1e,23.0,0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,0,0.0,G,19,S,0108,01,3,0
0108_02,Earth,0,G/19/S,TRAPPIST-1e,31.0,0,562.0,0.0,326.0,0.0,0.0,UnKnown,0,888.0,G,19,S,0108,02,3,0
0108_03,Earth,0,G/19/S,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,1,0.0,G,19,S,0108,03,3,0
0110_01,Europa,0,B/82/S,TRAPPIST-1e,32.0,0,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,0,5109.0,B,82,S,0110,01,4,0
0110_02,Europa,0,B/5/P,TRAPPIST-1e,40.0,0,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,0,2018.0,B,5,P,0110,02,4,0
0110_03,Europa,0,B/5/P,TRAPPIST-1e,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,1,15940.0,B,5,P,0110,03,4,0
0110_04,Europa,1,B/5/P,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,1,0.0,B,5,P,0110,04,4,0
0111_01,Europa,1,E/6/S,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,1,0.0,E,6,S,0111,01,1,1
0112_01,Europa,0,B/1/S,55 Cancri e,48.0,1,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,1,2654.0,B,1,S,0112,01,1,1
0113_01,Earth,0,F/23/P,TRAPPIST-1e,64.0,0,0.0,0.0,804.0,0.0,0.0,Idary Carvis,1,804.0,F,23,P,0113,01,1,1
0114_01,Earth,0,G/20/S,TRAPPIST-1e,27.0,0,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,0,907.0,G,20,S,0114,01,1,1
0115_01,Mars,1,F/24/P,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,Rohs Pead,1,0.0,F,24,P,0115,01,1,1
0116_01,Europa,0,D/4/P,TRAPPIST-1e,33.0,0,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,1,2640.0,D,4,P,0116,01,1,1
0119_01,Earth,0,A/0/P,TRAPPIST-1e,39.0,0,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,0,9307.0,A,0,P,0119,01,2,0
0119_02,Europa,1,A/0/P,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,1,0.0,A,0,P,0119,02,2,0
0120_01,Mars,1,F/25/P,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,Bees Sacre,1,0.0,F,25,P,0120,01,1,1
0122_01,Earth,0,G/21/S,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,0,773.0,G,21,S,0122,01,1,1
0123_01,Earth,0,F/27/P,TRAPPIST-1e,18.0,0,55.0,597.0,49.0,0.0,1.0,Iree Fielson,0,702.0,F,27,P,0123,01,1,1
0126_01,Mars,1,F/27/S,TRAPPIST-1e,67.0,0,0.0,0.0,0.0,0.0,0.0,Milly Mish,1,0.0,F,27,S,0126,01,1,1
0127_01,Mars,0,E/7/S,TRAPPIST-1e,35.0,0,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,0,1022.0,E,7,S,0127,01,1,1
0128_01,Mars,0,D/3/S,TRAPPIST-1e,61.0,1,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,0,3014.0,D,3,S,0128,01,2,0
0128_02,Mars,0,E/8/S,TRAPPIST-1e,45.0,0,2103.0,6.0,0.0,0.0,0.0,Barave Fles,0,2109.0,E,8,S,0128,02,2,0
0129_01,Earth,1,G/22/S,PSO J318.5-22,22.0,0,0.0,0.0,0.0,0.0,0.0,Race Fowles,1,0.0,G,22,S,0129,01,1,1
0133_01,Mars,1,F/29/S,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,Flynx Blie,1,0.0,F,29,S,0133,01,2,0
0133_02,Mars,0,D/5/S,TRAPPIST-1e,36.0,0,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,0,2738.0,D,5,S,0133,02,2,0
0134_01,Earth,0,G/17/P,TRAPPIST-1e,19.0,0,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,1,744.0,G,17,P,0134,01,1,1
0136_01,Earth,0,G/23/S,PSO J318.5-22,47.0,0,97.0,418.0,126.0,25.0,55.0,UnKnown,0,721.0,G,23,S,0136,01,1,1
0138_01,Earth,1,G/18/P,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,1,0.0,G,18,P,0138,01,2,0
0138_02,Earth,0,E/5/P,TRAPPIST-1e,34.0,0,0.0,22.0,0.0,564.0,207.0,Monah Gambs,0,793.0,E,5,P,0138,02,2,0
0139_01,Europa,1,C/6/S,55 Cancri e,35.0,0,0.0,0.0,0.0,0.0,0.0,Charda Myling,1,0.0,C,6,S,0139,01,1,1
0140_01,Earth,1,G/19/P,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,1,0.0,G,19,P,0140,01,2,0
0140_02,Earth,0,F/29/P,TRAPPIST-1e,26.0,0,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,0,902.0,F,29,P,0140,02,2,0
0141_01,Mars,0,F/30/P,TRAPPIST-1e,31.0,0,0.0,0.0,97.0,0.0,0.0,Pyrohs Harte,0,97.0,F,30,P,0141,01,1,1
0144_01,Earth,0,F/31/S,TRAPPIST-1e,20.0,0,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,1,630.0,F,31,S,0144,01,1,1
0146_01,Earth,0,G/25/S,TRAPPIST-1e,56.0,0,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,0,0.0,G,25,S,0146,01,1,1
0147_01,Earth,1,G/26/S,TRAPPIST-1e,50.0,0,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,1,0.0,G,26,S,0147,01,1,1
0148_01,Mars,0,F/31/P,TRAPPIST-1e,42.0,0,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,0,1158.0,F,31,P,0148,01,1,1
0149_01,Earth,1,G/27/S,55 Cancri e,27.0,0,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,1,0.0,G,27,S,0149,01,1,1
0151_01,Earth,1,G/20/P,55 Cancri e,38.0,0,0.0,0.0,0.0,0.0,0.0,Shanie Simson,0,0.0,G,20,P,0151,01,1,1
0152_01,Earth,0,F/32/P,TRAPPIST-1e,41.0,0,0.0,0.0,0.0,0.0,607.0,Andan Estron,0,607.0,F,32,P,0152,01,1,1
0160_01,Earth,0,G/22/P,TRAPPIST-1e,22.0,0,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,0,4180.0,G,22,P,0160,01,1,1
0163_01,Europa,1,B/8/P,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,1,0.0,B,8,P,0163,01,2,0
0163_02,Europa,1,B/8/P,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,1,0.0,B,8,P,0163,02,2,0
0164_01,Earth,0,G/28/S,TRAPPIST-1e,57.0,0,50.0,1688.0,0.0,0.0,135.0,Fany Hutchinton,1,1873.0,G,28,S,0164,01,2,0
0164_02,Earth,1,G/28/S,PSO J318.5-22,17.0,0,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,0,0.0,G,28,S,0164,02,2,0
0165_01,Mars,1,F/37/P,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,Graven Anche,1,0.0,F,37,P,0165,01,1,1
0167_01,Mars,1,F/35/S,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,Miten Floaf,1,0.0,F,35,S,0167,01,2,0
0167_02,Mars,0,F/35/S,TRAPPIST-1e,27.0,0,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,0,1572.0,F,35,S,0167,02,2,0
0169_01,Earth,1,G/23/P,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,0,0.0,G,23,P,0169,01,1,1
0170_01,Earth,0,E/10/S,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,0,788.0,E,10,S,0170,01,1,1
0171_01,Earth,1,G/30/S,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,1,0.0,G,30,S,0171,01,1,1
0172_01,Earth,1,G/24/P,TRAPPIST-1e,32.0,0,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,1,0.0,G,24,P,0172,01,1,1
0173_01,Earth,0,E/11/S,TRAPPIST-1e,58.0,0,0.0,985.0,0.0,5.0,0.0,Hilip Grifford,1,990.0,E,11,S,0173,01,1,1
0174_01,Earth,0,F/38/P,55 Cancri e,21.0,0,287.0,0.0,16.0,115.0,175.0,Doryn Lambles,0,593.0,F,38,P,0174,01,1,1
0177_01,Europa,0,B/2/S,TRAPPIST-1e,38.0,0,0.0,10346.0,1.0,14970.0,2111.0,Toperon Iniouser,0,27428.0,B,2,S,0177,01,1,1
0178_01,Mars,0,D/6/S,TRAPPIST-1e,38.0,0,3414.0,0.0,161.0,28.0,119.0,Wees Knik,0,3722.0,D,6,S,0178,01,1,1
0179_01,Earth,0,G/26/P,TRAPPIST-1e,19.0,0,1.0,219.0,673.0,2.0,11.0,Elaney Webstephrey,1,906.0,G,26,P,0179,01,3,0
0179_02,Earth,0,G/26/P,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,0,0.0,G,26,P,0179,02,3,0
0179_03,Earth,0,G/26/P,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0,Sallyl Webstephrey,1,0.0,G,26,P,0179,03,3,0
0181_01,Earth,0,G/27/P,TRAPPIST-1e,20.0,0,0.0,0.0,3.0,299.0,92.0,Nancis Brighttt,0,394.0,G,27,P,0181,01,1,1
0182_01,Europa,1,C/3/P,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,Ksorab Disight,1,0.0,C,3,P,0182,01,1,1
0183_01,Earth,0,F/36/S,TRAPPIST-1e,37.0,0,17.0,146.0,426.0,0.0,232.0,Stany Weaves,1,821.0,F,36,S,0183,01,1,1
0186_01,Earth,0,G/28/P,TRAPPIST-1e,25.0,0,62.0,0.0,0.0,0.0,956.0,Camiet Shephendry,0,1018.0,G,28,P,0186,01,1,1
